| end of split 162 /500 | epoch   1 | time: 12.74s | valid loss 1.2978 | valid ppl 3.6611 | learning rate 1.2500
| end of split 163 /500 | epoch   1 | time: 12.56s | valid loss 1.2970 | valid ppl 3.6585 | learning rate 1.2500
| end of split 164 /500 | epoch   1 | time: 12.78s | valid loss 1.2986 | valid ppl 3.6641 | learning rate 1.2500
| end of split 165 /500 | epoch   1 | time: 12.63s | valid loss 1.2998 | valid ppl 3.6684 | learning rate 1.2500
| end of split 166 /500 | epoch   1 | time: 12.81s | valid loss 1.3037 | valid ppl 3.6829 | learning rate 1.2500
| end of split 167 /500 | epoch   1 | time: 13.45s | valid loss 1.2886 | valid ppl 3.6278 | learning rate 1.2500
| end of split 168 /500 | epoch   1 | time: 13.28s | valid loss 1.2857 | valid ppl 3.6172 | learning rate 1.2500
| end of split 169 /500 | epoch   1 | time: 13.14s | valid loss 1.2879 | valid ppl 3.6250 | learning rate 1.2500
| end of split 170 /500 | epoch   1 | time: 12.94s | valid loss 1.2861 | valid ppl 3.6186 | learning rate 1.2500
| end of split 171 /500 | epoch   1 | time: 13.15s | valid loss 1.2864 | valid ppl 3.6196 | learning rate 1.2500
| end of split 172 /500 | epoch   1 | time: 13.03s | valid loss 1.2974 | valid ppl 3.6598 | learning rate 1.2500
| end of split 173 /500 | epoch   1 | time: 12.79s | valid loss 1.2885 | valid ppl 3.6272 | learning rate 1.2500
| end of split 174 /500 | epoch   1 | time: 12.96s | valid loss 1.2841 | valid ppl 3.6114 | learning rate 1.2500
| end of split 175 /500 | epoch   1 | time: 12.78s | valid loss 1.2876 | valid ppl 3.6242 | learning rate 1.2500
| end of split 176 /500 | epoch   1 | time: 12.77s | valid loss 1.2846 | valid ppl 3.6132 | learning rate 1.2500
| end of split 177 /500 | epoch   1 | time: 13.25s | valid loss 1.2966 | valid ppl 3.6569 | learning rate 1.2500
| end of split 178 /500 | epoch   1 | time: 13.20s | valid loss 1.2786 | valid ppl 3.5915 | learning rate 1.2500
| end of split 179 /500 | epoch   1 | time: 13.08s | valid loss 1.2783 | valid ppl 3.5905 | learning rate 1.2500
| end of split 180 /500 | epoch   1 | time: 13.24s | valid loss 1.2756 | valid ppl 3.5810 | learning rate 1.2500
| end of split 181 /500 | epoch   1 | time: 13.35s | valid loss 1.2799 | valid ppl 3.5964 | learning rate 1.2500
| end of split 182 /500 | epoch   1 | time: 13.23s | valid loss 1.2768 | valid ppl 3.5850 | learning rate 1.2500
